Time, Wald, Feuer
0.0,1000.0,1000.0
0.01,1110.0,910.0
0.02,1242.0,838.0
0.03,1399.0,783.0
0.04,1583.0,744.0
0.05,1797.0,721.0
0.06,2043.0,715.0
0.07,2322.0,728.0
0.08,2633.0,763.0
0.09,2971.0,827.0
0.1,3325.0,928.0
0.11,3675.0,1078.0
0.12,3989.0,1295.0
0.13,4219.0,1600.0
0.14,4306.0,2009.0
0.15,4197.0,2521.0
0.16,3872.0,3095.0
0.17,3374.0,3644.0
0.18,2799.0,4063.0
0.19,2249.0,4279.0
0.2,1787.0,4283.0
0.21,1433.0,4115.0
0.22,1175.0,3836.0
0.23,994.0,3499.0
0.24,871.0,3143.0
0.25,791.0,2795.0
0.26,743.0,2470.0
0.27,720.0,2175.0
0.28,717.0,1913.0
0.29,732.0,1684.0
0.3,763.0,1486.0
0.31,810.0,1316.0
0.32,874.0,1172.0
0.33,955.0,1051.0
0.34,1055.0,951.0
0.35,1177.0,870.0
0.36,1322.0,807.0
0.37,1493.0,760.0
0.38,1693.0,730.0
0.39,1924.0,716.0
0.4,2188.0,720.0
0.41,2484.0,744.0
0.42,2810.0,794.0
0.43,3158.0,876.0
0.44,3513.0,1001.0
0.45,3849.0,1185.0
0.46,4125.0,1446.0
0.47,4286.0,1805.0
0.48,4273.0,2271.0
0.49,4047.0,2824.0
0.5,3621.0,3397.0
0.51,3069.0,3888.0
0.52,2497.0,4204.0
0.53,1990.0,4304.0
0.54,1586.0,4210.0
0.55,1285.0,3976.0
0.56,1071.0,3660.0
0.57,923.0,3309.0
0.58,824.0,2955.0
0.59,762.0,2618.0
0.6,728.0,2309.0
0.61,716.0,2032.0
0.62,723.0,1787.0
0.63,747.0,1574.0
0.64,787.0,1391.0
0.65,843.0,1235.0
0.66,916.0,1104.0
0.67,1008.0,995.0
0.68,1120.0,906.0
0.69,1254.0,835.0
0.7,1413.0,781.0
0.71,1599.0,743.0
0.72,1815.0,721.0
0.73,2063.0,716.0
0.74,2344.0,731.0
0.75,2657.0,768.0
0.76,2996.0,834.0
0.77,3350.0,938.0
0.78,3698.0,1093.0
0.79,4007.0,1316.0
0.8,4228.0,1628.0
0.81,4302.0,2045.0
0.82,4176.0,2563.0
0.83,3836.0,3138.0
0.84,3329.0,3680.0
0.85,2754.0,4084.0
0.86,2210.0,4283.0
0.87,1757.0,4272.0
0.88,1411.0,4094.0
0.89,1160.0,3809.0
0.9,984.0,3470.0
0.91,865.0,3115.0
0.92,787.0,2769.0
0.93,741.0,2446.0
0.94,719.0,2154.0
0.95,717.0,1895.0
0.96,733.0,1668.0
0.97,765.0,1472.0
0.98,813.0,1304.0
0.99,878.0,1162.0
1,961.0,1043.0
