Time, Wald, Feuer
0.0,1000.0,1000.0
0.001,1010.0,990.0
0.002,1020.0,980.0
0.003,1030.0,970.0
0.004,1041.0,961.0
0.005,1052.0,952.0
0.006,1063.0,943.0
0.007,1074.0,934.0
0.008,1085.0,925.0
0.009,1097.0,917.0
0.01,1109.0,909.0
0.011,1121.0,901.0
0.012,1133.0,893.0
0.013,1146.0,885.0
0.014,1159.0,877.0
0.015,1172.0,870.0
0.016,1185.0,863.0
0.017,1198.0,856.0
0.018,1212.0,849.0
0.019,1226.0,842.0
0.02,1240.0,835.0
0.021,1254.0,829.0
0.022,1269.0,823.0
0.023,1284.0,817.0
0.024,1299.0,811.0
0.025,1314.0,805.0
0.026,1330.0,799.0
0.027,1346.0,794.0
0.028,1362.0,789.0
0.029,1378.0,784.0
0.03,1395.0,779.0
0.031,1412.0,774.0
0.032,1429.0,769.0
0.033,1447.0,765.0
0.034,1465.0,761.0
0.035,1483.0,757.0
0.036,1501.0,753.0
0.037,1520.0,749.0
0.038,1539.0,745.0
0.039,1558.0,742.0
0.04,1578.0,739.0
0.041,1598.0,736.0
0.042,1618.0,733.0
0.043,1639.0,730.0
0.044,1660.0,727.0
0.045,1681.0,725.0
0.046,1702.0,723.0
0.047,1724.0,721.0
0.048,1746.0,719.0
0.049,1768.0,717.0
0.05,1791.0,715.0
0.051,1814.0,714.0
0.052,1837.0,713.0
0.053,1861.0,712.0
0.054,1885.0,711.0
0.055,1909.0,710.0
0.056,1934.0,709.0
0.057,1959.0,709.0
0.058,1984.0,709.0
0.059,2010.0,709.0
0.06,2036.0,709.0
0.061,2062.0,709.0
0.062,2089.0,709.0
0.063,2116.0,710.0
0.064,2143.0,711.0
0.065,2171.0,712.0
0.066,2199.0,713.0
0.067,2227.0,714.0
0.068,2256.0,716.0
0.069,2285.0,718.0
0.07,2314.0,720.0
0.071,2344.0,722.0
0.072,2374.0,724.0
0.073,2404.0,727.0
0.074,2435.0,730.0
0.075,2466.0,733.0
0.076,2497.0,736.0
0.077,2529.0,740.0
0.078,2561.0,744.0
0.079,2593.0,748.0
0.08,2625.0,752.0
0.081,2658.0,757.0
0.082,2691.0,762.0
0.083,2724.0,767.0
0.084,2758.0,773.0
0.085,2792.0,779.0
0.086,2826.0,785.0
0.087,2860.0,791.0
0.088,2895.0,798.0
0.089,2930.0,805.0
0.09,2965.0,812.0
0.091,3000.0,820.0
0.092,3035.0,828.0
0.093,3071.0,837.0
0.094,3107.0,846.0
0.095,3143.0,855.0
0.096,3179.0,865.0
0.097,3215.0,875.0
0.098,3251.0,886.0
0.099,3287.0,897.0
0.1,3323.0,909.0
0.101,3359.0,921.0
0.102,3395.0,934.0
0.103,3431.0,947.0
0.104,3467.0,961.0
0.105,3503.0,975.0
0.106,3539.0,990.0
0.107,3575.0,1005.0
0.108,3611.0,1021.0
0.109,3646.0,1037.0
0.11,3681.0,1054.0
0.111,3716.0,1072.0
0.112,3750.0,1090.0
0.113,3784.0,1109.0
0.114,3818.0,1129.0
0.115,3851.0,1150.0
0.116,3884.0,1171.0
0.117,3916.0,1193.0
0.118,3948.0,1216.0
0.119,3979.0,1240.0
0.12,4009.0,1265.0
0.121,4038.0,1290.0
0.122,4067.0,1316.0
0.123,4095.0,1343.0
0.124,4122.0,1371.0
0.125,4148.0,1400.0
0.126,4173.0,1430.0
0.127,4197.0,1461.0
0.128,4220.0,1493.0
0.129,4241.0,1526.0
0.13,4261.0,1560.0
0.131,4280.0,1595.0
0.132,4297.0,1631.0
0.133,4313.0,1668.0
0.134,4327.0,1707.0
0.135,4340.0,1747.0
0.136,4351.0,1788.0
0.137,4360.0,1830.0
0.138,4367.0,1873.0
0.139,4373.0,1917.0
0.14,4377.0,1962.0
0.141,4379.0,2009.0
0.142,4379.0,2057.0
0.143,4377.0,2106.0
0.144,4372.0,2156.0
0.145,4365.0,2207.0
0.146,4356.0,2259.0
0.147,4345.0,2312.0
0.148,4331.0,2366.0
0.149,4315.0,2421.0
0.15,4297.0,2477.0
0.151,4277.0,2534.0
0.152,4254.0,2592.0
0.153,4229.0,2650.0
0.154,4202.0,2709.0
0.155,4172.0,2769.0
0.156,4140.0,2829.0
0.157,4106.0,2890.0
0.158,4069.0,2951.0
0.159,4030.0,3012.0
0.16,3989.0,3073.0
0.161,3946.0,3134.0
0.162,3901.0,3195.0
0.163,3854.0,3256.0
0.164,3806.0,3316.0
0.165,3756.0,3376.0
0.166,3704.0,3435.0
0.167,3651.0,3494.0
0.168,3596.0,3552.0
0.169,3540.0,3609.0
0.17,3483.0,3665.0
0.171,3425.0,3719.0
0.172,3366.0,3772.0
0.173,3306.0,3824.0
0.174,3246.0,3874.0
0.175,3185.0,3922.0
0.176,3124.0,3968.0
0.177,3063.0,4013.0
0.178,3001.0,4056.0
0.179,2939.0,4097.0
0.18,2877.0,4135.0
0.181,2816.0,4171.0
0.182,2755.0,4205.0
0.183,2694.0,4237.0
0.184,2634.0,4266.0
0.185,2574.0,4293.0
0.186,2515.0,4318.0
0.187,2457.0,4340.0
0.188,2400.0,4360.0
0.189,2343.0,4377.0
0.19,2287.0,4392.0
0.191,2232.0,4405.0
0.192,2178.0,4415.0
0.193,2125.0,4423.0
0.194,2074.0,4429.0
0.195,2024.0,4432.0
0.196,1975.0,4433.0
0.197,1927.0,4432.0
0.198,1880.0,4429.0
0.199,1834.0,4424.0
0.2,1790.0,4417.0
0.201,1747.0,4408.0
0.202,1705.0,4397.0
0.203,1664.0,4384.0
0.204,1624.0,4369.0
0.205,1586.0,4353.0
0.206,1549.0,4335.0
0.207,1513.0,4315.0
0.208,1478.0,4294.0
0.209,1444.0,4272.0
0.21,1411.0,4248.0
0.211,1379.0,4223.0
0.212,1348.0,4197.0
0.213,1318.0,4170.0
0.214,1289.0,4142.0
0.215,1261.0,4113.0
0.216,1234.0,4083.0
0.217,1208.0,4052.0
0.218,1183.0,4020.0
0.219,1159.0,3987.0
0.22,1136.0,3953.0
0.221,1114.0,3919.0
0.222,1093.0,3884.0
0.223,1072.0,3849.0
0.224,1052.0,3813.0
0.225,1033.0,3777.0
0.226,1015.0,3740.0
0.227,997.0,3703.0
0.228,980.0,3666.0
0.229,964.0,3629.0
0.23,948.0,3591.0
0.231,933.0,3553.0
0.232,919.0,3515.0
0.233,905.0,3477.0
0.234,892.0,3439.0
0.235,879.0,3401.0
0.236,867.0,3363.0
0.237,855.0,3325.0
0.238,844.0,3287.0
0.239,833.0,3249.0
0.24,823.0,3211.0
0.241,813.0,3173.0
0.242,803.0,3135.0
0.243,794.0,3097.0
0.244,785.0,3060.0
0.245,777.0,3023.0
0.246,769.0,2986.0
0.247,761.0,2949.0
0.248,754.0,2912.0
0.249,747.0,2876.0
0.25,740.0,2840.0
0.251,734.0,2804.0
0.252,728.0,2769.0
0.253,722.0,2734.0
0.254,717.0,2699.0
0.255,712.0,2664.0
0.256,707.0,2630.0
0.257,703.0,2596.0
0.258,699.0,2562.0
0.259,695.0,2529.0
0.26,691.0,2496.0
0.261,688.0,2463.0
0.262,685.0,2431.0
0.263,682.0,2399.0
0.264,679.0,2367.0
0.265,677.0,2336.0
0.266,675.0,2305.0
0.267,673.0,2274.0
0.268,671.0,2244.0
0.269,669.0,2214.0
0.27,668.0,2185.0
0.271,667.0,2156.0
0.272,666.0,2127.0
0.273,665.0,2099.0
0.274,664.0,2071.0
0.275,664.0,2043.0
0.276,664.0,2016.0
0.277,664.0,1989.0
0.278,664.0,1962.0
0.279,664.0,1936.0
0.28,664.0,1910.0
0.281,665.0,1884.0
0.282,666.0,1859.0
0.283,667.0,1834.0
0.284,668.0,1810.0
0.285,669.0,1786.0
0.286,670.0,1762.0
0.287,672.0,1739.0
0.288,674.0,1716.0
0.289,676.0,1693.0
0.29,678.0,1671.0
0.291,680.0,1649.0
0.292,682.0,1627.0
0.293,685.0,1606.0
0.294,688.0,1585.0
0.295,691.0,1564.0
0.296,694.0,1544.0
0.297,697.0,1524.0
0.298,700.0,1504.0
0.299,703.0,1484.0
0.3,707.0,1465.0
0.301,711.0,1446.0
0.302,715.0,1427.0
0.303,719.0,1409.0
0.304,723.0,1391.0
0.305,727.0,1373.0
0.306,732.0,1356.0
0.307,737.0,1339.0
0.308,742.0,1322.0
0.309,747.0,1305.0
0.31,752.0,1289.0
0.311,757.0,1273.0
0.312,763.0,1257.0
0.313,769.0,1241.0
0.314,775.0,1226.0
0.315,781.0,1211.0
0.316,787.0,1196.0
0.317,793.0,1181.0
0.318,799.0,1167.0
0.319,806.0,1153.0
0.32,813.0,1139.0
0.321,820.0,1125.0
0.322,827.0,1112.0
0.323,834.0,1099.0
0.324,842.0,1086.0
0.325,850.0,1073.0
0.326,858.0,1061.0
0.327,866.0,1049.0
0.328,874.0,1037.0
0.329,882.0,1025.0
0.33,891.0,1014.0
0.331,900.0,1003.0
0.332,909.0,992.0
0.333,918.0,981.0
0.334,927.0,970.0
0.335,937.0,960.0
0.336,947.0,950.0
0.337,957.0,940.0
0.338,967.0,930.0
0.339,977.0,920.0
0.34,988.0,911.0
0.341,999.0,902.0
0.342,1010.0,893.0
0.343,1021.0,884.0
0.344,1032.0,875.0
0.345,1044.0,867.0
0.346,1056.0,859.0
0.347,1068.0,851.0
0.348,1080.0,843.0
0.349,1092.0,835.0
0.35,1105.0,827.0
0.351,1118.0,820.0
0.352,1131.0,813.0
0.353,1144.0,806.0
0.354,1158.0,799.0
0.355,1172.0,792.0
0.356,1186.0,785.0
0.357,1200.0,779.0
0.358,1215.0,773.0
0.359,1230.0,767.0
0.36,1245.0,761.0
0.361,1260.0,755.0
0.362,1276.0,749.0
0.363,1292.0,744.0
0.364,1308.0,739.0
0.365,1324.0,734.0
0.366,1341.0,729.0
0.367,1358.0,724.0
0.368,1375.0,719.0
0.369,1393.0,715.0
0.37,1411.0,711.0
0.371,1429.0,707.0
0.372,1447.0,703.0
0.373,1466.0,699.0
0.374,1485.0,695.0
0.375,1504.0,691.0
0.376,1524.0,688.0
0.377,1544.0,685.0
0.378,1564.0,682.0
0.379,1585.0,679.0
0.38,1606.0,676.0
0.381,1627.0,673.0
0.382,1649.0,670.0
0.383,1671.0,668.0
0.384,1693.0,666.0
0.385,1716.0,664.0
0.386,1739.0,662.0
0.387,1762.0,660.0
0.388,1786.0,658.0
0.389,1810.0,657.0
0.39,1834.0,656.0
0.391,1859.0,655.0
0.392,1884.0,654.0
0.393,1909.0,653.0
0.394,1935.0,652.0
0.395,1961.0,652.0
0.396,1987.0,652.0
0.397,2014.0,652.0
0.398,2041.0,652.0
0.399,2069.0,652.0
0.4,2097.0,652.0
0.401,2125.0,653.0
0.402,2154.0,654.0
0.403,2183.0,655.0
0.404,2212.0,656.0
0.405,2242.0,657.0
0.406,2272.0,659.0
0.407,2302.0,661.0
0.408,2333.0,663.0
0.409,2364.0,665.0
0.41,2396.0,667.0
0.411,2428.0,670.0
0.412,2460.0,673.0
0.413,2493.0,676.0
0.414,2526.0,679.0
0.415,2559.0,683.0
0.416,2593.0,687.0
0.417,2627.0,691.0
0.418,2661.0,695.0
0.419,2696.0,700.0
0.42,2731.0,705.0
0.421,2766.0,710.0
0.422,2802.0,715.0
0.423,2838.0,721.0
0.424,2874.0,727.0
0.425,2911.0,733.0
0.426,2948.0,740.0
0.427,2985.0,747.0
0.428,3022.0,754.0
0.429,3060.0,762.0
0.43,3098.0,770.0
0.431,3136.0,778.0
0.432,3174.0,787.0
0.433,3213.0,796.0
0.434,3252.0,806.0
0.435,3291.0,816.0
0.436,3330.0,827.0
0.437,3369.0,838.0
0.438,3408.0,849.0
0.439,3447.0,861.0
0.44,3486.0,873.0
0.441,3525.0,886.0
0.442,3564.0,900.0
0.443,3603.0,914.0
0.444,3642.0,929.0
0.445,3681.0,944.0
0.446,3720.0,960.0
0.447,3759.0,977.0
0.448,3797.0,994.0
0.449,3835.0,1012.0
0.45,3873.0,1031.0
0.451,3911.0,1050.0
0.452,3948.0,1070.0
0.453,3985.0,1091.0
0.454,4021.0,1113.0
0.455,4057.0,1135.0
0.456,4092.0,1158.0
0.457,4126.0,1182.0
0.458,4160.0,1207.0
0.459,4193.0,1233.0
0.46,4225.0,1260.0
0.461,4256.0,1288.0
0.462,4286.0,1317.0
0.463,4315.0,1347.0
0.464,4343.0,1378.0
0.465,4370.0,1410.0
0.466,4396.0,1443.0
0.467,4420.0,1478.0
0.468,4443.0,1514.0
0.469,4465.0,1551.0
0.47,4485.0,1589.0
0.471,4503.0,1628.0
0.472,4520.0,1669.0
0.473,4535.0,1711.0
0.474,4548.0,1754.0
0.475,4559.0,1799.0
0.476,4568.0,1845.0
0.477,4575.0,1892.0
0.478,4580.0,1941.0
0.479,4583.0,1991.0
0.48,4583.0,2042.0
0.481,4581.0,2095.0
0.482,4577.0,2149.0
0.483,4570.0,2204.0
0.484,4561.0,2261.0
0.485,4549.0,2319.0
0.486,4534.0,2378.0
0.487,4517.0,2438.0
0.488,4497.0,2499.0
0.489,4475.0,2561.0
0.49,4450.0,2624.0
0.491,4422.0,2688.0
0.492,4392.0,2753.0
0.493,4359.0,2819.0
0.494,4323.0,2886.0
0.495,4285.0,2953.0
0.496,4244.0,3020.0
0.497,4201.0,3088.0
0.498,4155.0,3156.0
0.499,4107.0,3224.0
0.5,4057.0,3292.0
0.501,4005.0,3360.0
0.502,3951.0,3427.0
0.503,3895.0,3494.0
0.504,3837.0,3560.0
0.505,3777.0,3625.0
0.506,3716.0,3689.0
0.507,3653.0,3752.0
0.508,3589.0,3814.0
0.509,3524.0,3875.0
0.51,3458.0,3934.0
0.511,3391.0,3991.0
0.512,3323.0,4047.0
0.513,3255.0,4101.0
0.514,3187.0,4152.0
0.515,3118.0,4201.0
0.516,3049.0,4248.0
0.517,2980.0,4293.0
0.518,2912.0,4335.0
0.519,2844.0,4375.0
0.52,2776.0,4412.0
0.521,2709.0,4446.0
0.522,2643.0,4478.0
0.523,2578.0,4507.0
0.524,2513.0,4533.0
0.525,2449.0,4556.0
0.526,2386.0,4576.0
0.527,2325.0,4594.0
0.528,2265.0,4609.0
0.529,2206.0,4621.0
0.53,2148.0,4631.0
0.531,2091.0,4638.0
0.532,2036.0,4642.0
0.533,1982.0,4644.0
0.534,1930.0,4643.0
0.535,1879.0,4640.0
0.536,1829.0,4634.0
0.537,1781.0,4626.0
0.538,1734.0,4616.0
0.539,1689.0,4604.0
0.54,1645.0,4590.0
0.541,1602.0,4574.0
0.542,1561.0,4556.0
0.543,1521.0,4536.0
0.544,1482.0,4514.0
0.545,1445.0,4491.0
0.546,1409.0,4466.0
0.547,1374.0,4440.0
0.548,1340.0,4412.0
0.549,1308.0,4383.0
0.55,1277.0,4353.0
0.551,1247.0,4322.0
0.552,1218.0,4289.0
0.553,1190.0,4255.0
0.554,1163.0,4221.0
0.555,1137.0,4186.0
0.556,1112.0,4150.0
0.557,1088.0,4113.0
0.558,1065.0,4075.0
0.559,1043.0,4037.0
0.56,1022.0,3998.0
0.561,1002.0,3959.0
0.562,982.0,3919.0
0.563,963.0,3879.0
0.564,945.0,3839.0
0.565,928.0,3798.0
0.566,911.0,3757.0
0.567,895.0,3716.0
0.568,880.0,3675.0
0.569,865.0,3634.0
0.57,851.0,3593.0
0.571,837.0,3552.0
0.572,824.0,3511.0
0.573,812.0,3470.0
0.574,800.0,3429.0
0.575,789.0,3388.0
0.576,778.0,3347.0
0.577,768.0,3306.0
0.578,758.0,3265.0
0.579,748.0,3224.0
0.58,739.0,3184.0
0.581,730.0,3144.0
0.582,722.0,3104.0
0.583,714.0,3064.0
0.584,706.0,3025.0
0.585,699.0,2986.0
0.586,692.0,2947.0
0.587,685.0,2908.0
0.588,679.0,2870.0
0.589,673.0,2832.0
0.59,667.0,2794.0
0.591,662.0,2757.0
0.592,657.0,2720.0
0.593,652.0,2683.0
0.594,648.0,2647.0
0.595,644.0,2611.0
0.596,640.0,2576.0
0.597,636.0,2541.0
0.598,633.0,2506.0
0.599,630.0,2472.0
0.6,627.0,2438.0
0.601,624.0,2405.0
0.602,621.0,2372.0
0.603,619.0,2339.0
0.604,617.0,2307.0
0.605,615.0,2275.0
0.606,613.0,2243.0
0.607,612.0,2212.0
0.608,611.0,2181.0
0.609,610.0,2151.0
0.61,609.0,2121.0
