Time, Wald, Feuer
0.0,1000.0,1000.0
0.025,1318.0,808.0
0.05,1799.0,721.0
0.075,2476.0,743.0
0.1,3328.0,929.0
0.125,4120.0,1439.0
0.15,4194.0,2525.0
0.175,3084.0,3874.0
0.2,1786.0,4283.0
0.225,1077.0,3671.0
0.25,791.0,2795.0
0.275,715.0,2040.0
0.3,762.0,1485.0
0.325,911.0,1108.0
0.35,1176.0,870.0
0.375,1588.0,743.0
0.4,2186.0,719.0
0.425,2981.0,829.0
0.45,3850.0,1183.0
0.475,4308.0,2023.0
0.5,3625.0,3392.0
0.525,2235.0,4283.0
0.55,1288.0,3981.0
0.575,870.0,3136.0
0.6,728.0,2313.0
0.625,732.0,1680.0
0.65,841.0,1238.0
0.675,1058.0,950.0
0.7,1408.0,782.0
0.725,1929.0,717.0
0.75,2649.0,768.0
0.775,3518.0,1006.0
0.8,4222.0,1621.0
0.825,4036.0,2831.0
0.85,2768.0,4069.0
0.875,1583.0,4203.0
0.9,991.0,3479.0
0.925,764.0,2614.0
0.95,719.0,1903.0
0.975,788.0,1391.0
1,961.0,1047.0
