Time, Wald, Feuer
0.0,1000.0,1000.0
0.001,1010.0,990.0
0.002,1020.0,980.0
0.003,1031.0,970.0
0.004,1042.0,961.0
0.005,1053.0,952.0
0.006,1064.0,943.0
0.007,1075.0,934.0
0.008,1087.0,925.0
0.009,1099.0,917.0
0.01,1111.0,909.0
0.011,1123.0,901.0
0.012,1135.0,893.0
0.013,1148.0,885.0
0.014,1161.0,878.0
0.015,1174.0,871.0
0.016,1187.0,864.0
0.017,1201.0,857.0
0.018,1215.0,850.0
0.019,1229.0,843.0
0.02,1243.0,837.0
0.021,1258.0,831.0
0.022,1273.0,825.0
0.023,1288.0,819.0
0.024,1303.0,813.0
0.025,1319.0,807.0
0.026,1335.0,802.0
0.027,1351.0,797.0
0.028,1367.0,792.0
0.029,1384.0,787.0
0.03,1401.0,782.0
0.031,1418.0,777.0
0.032,1435.0,773.0
0.033,1453.0,769.0
0.034,1471.0,765.0
0.035,1489.0,761.0
0.036,1508.0,757.0
0.037,1527.0,753.0
0.038,1546.0,750.0
0.039,1565.0,747.0
0.04,1585.0,744.0
0.041,1605.0,741.0
0.042,1625.0,738.0
0.043,1646.0,735.0
0.044,1667.0,732.0
0.045,1688.0,730.0
0.046,1710.0,728.0
0.047,1732.0,726.0
0.048,1754.0,724.0
0.049,1777.0,722.0
0.05,1800.0,720.0
0.051,1823.0,719.0
0.052,1847.0,718.0
0.053,1871.0,717.0
0.054,1895.0,716.0
0.055,1919.0,715.0
0.056,1944.0,715.0
0.057,1969.0,715.0
0.058,1994.0,715.0
0.059,2020.0,715.0
0.06,2046.0,715.0
0.061,2072.0,715.0
0.062,2099.0,716.0
0.063,2126.0,717.0
0.064,2153.0,718.0
0.065,2181.0,719.0
0.066,2209.0,720.0
0.067,2237.0,722.0
0.068,2266.0,724.0
0.069,2295.0,726.0
0.07,2324.0,728.0
0.071,2354.0,730.0
0.072,2384.0,733.0
0.073,2414.0,736.0
0.074,2445.0,739.0
0.075,2476.0,742.0
0.076,2507.0,746.0
0.077,2539.0,750.0
0.078,2571.0,754.0
0.079,2603.0,758.0
0.08,2635.0,763.0
0.081,2668.0,768.0
0.082,2701.0,773.0
0.083,2734.0,779.0
0.084,2768.0,785.0
0.085,2802.0,791.0
0.086,2836.0,798.0
0.087,2870.0,805.0
0.088,2904.0,812.0
0.089,2939.0,820.0
0.09,2974.0,828.0
0.091,3009.0,836.0
0.092,3044.0,845.0
0.093,3079.0,854.0
0.094,3114.0,863.0
0.095,3149.0,873.0
0.096,3185.0,883.0
0.097,3221.0,894.0
0.098,3257.0,905.0
0.099,3293.0,917.0
0.1,3329.0,929.0
0.101,3365.0,942.0
0.102,3401.0,955.0
0.103,3436.0,969.0
0.104,3471.0,983.0
0.105,3506.0,998.0
0.106,3541.0,1013.0
0.107,3576.0,1029.0
0.108,3611.0,1046.0
0.109,3645.0,1063.0
0.11,3679.0,1081.0
0.111,3713.0,1099.0
0.112,3746.0,1118.0
0.113,3779.0,1138.0
0.114,3811.0,1159.0
0.115,3843.0,1180.0
0.116,3874.0,1202.0
0.117,3905.0,1225.0
0.118,3935.0,1249.0
0.119,3964.0,1274.0
0.12,3992.0,1299.0
0.121,4020.0,1325.0
0.122,4047.0,1352.0
0.123,4073.0,1380.0
0.124,4098.0,1409.0
0.125,4122.0,1439.0
0.126,4145.0,1470.0
0.127,4166.0,1502.0
0.128,4186.0,1535.0
0.129,4205.0,1569.0
0.13,4222.0,1604.0
0.131,4238.0,1640.0
0.132,4252.0,1677.0
0.133,4265.0,1715.0
0.134,4276.0,1754.0
0.135,4286.0,1794.0
0.136,4294.0,1836.0
0.137,4300.0,1879.0
0.138,4304.0,1923.0
0.139,4306.0,1968.0
0.14,4306.0,2014.0
0.141,4304.0,2061.0
0.142,4300.0,2109.0
0.143,4294.0,2158.0
0.144,4286.0,2208.0
0.145,4276.0,2259.0
0.146,4264.0,2311.0
0.147,4250.0,2364.0
0.148,4233.0,2418.0
0.149,4214.0,2472.0
0.15,4193.0,2527.0
0.151,4170.0,2583.0
0.152,4145.0,2639.0
0.153,4117.0,2696.0
0.154,4087.0,2753.0
0.155,4055.0,2811.0
0.156,4021.0,2869.0
0.157,3985.0,2927.0
0.158,3947.0,2985.0
0.159,3907.0,3043.0
0.16,3865.0,3101.0
0.161,3822.0,3159.0
0.162,3777.0,3216.0
0.163,3730.0,3273.0
0.164,3682.0,3329.0
0.165,3632.0,3385.0
0.166,3581.0,3440.0
0.167,3529.0,3494.0
0.168,3476.0,3547.0
0.169,3422.0,3599.0
0.17,3367.0,3650.0
0.171,3311.0,3699.0
0.172,3254.0,3747.0
0.173,3197.0,3793.0
0.174,3139.0,3838.0
0.175,3081.0,3881.0
0.176,3023.0,3922.0
0.177,2965.0,3961.0
0.178,2907.0,3998.0
0.179,2849.0,4033.0
0.18,2791.0,4066.0
0.181,2733.0,4097.0
0.182,2676.0,4126.0
0.183,2619.0,4153.0
0.184,2563.0,4178.0
0.185,2507.0,4200.0
0.186,2452.0,4220.0
0.187,2398.0,4238.0
0.188,2345.0,4254.0
0.189,2293.0,4268.0
0.19,2241.0,4279.0
0.191,2190.0,4288.0
0.192,2140.0,4295.0
0.193,2091.0,4300.0
0.194,2043.0,4303.0
0.195,1996.0,4304.0
0.196,1951.0,4303.0
0.197,1907.0,4300.0
0.198,1864.0,4295.0
0.199,1822.0,4288.0
0.2,1781.0,4279.0
0.201,1741.0,4269.0
0.202,1702.0,4257.0
0.203,1664.0,4244.0
0.204,1627.0,4229.0
0.205,1591.0,4212.0
0.206,1556.0,4194.0
0.207,1522.0,4175.0
0.208,1489.0,4154.0
0.209,1457.0,4132.0
0.21,1426.0,4109.0
0.211,1396.0,4085.0
0.212,1367.0,4060.0
0.213,1339.0,4034.0
0.214,1312.0,4007.0
0.215,1286.0,3979.0
0.216,1261.0,3950.0
0.217,1237.0,3920.0
0.218,1214.0,3890.0
0.219,1191.0,3859.0
0.22,1169.0,3827.0
0.221,1148.0,3795.0
0.222,1128.0,3762.0
0.223,1108.0,3729.0
0.224,1089.0,3696.0
0.225,1071.0,3662.0
0.226,1054.0,3628.0
0.227,1037.0,3594.0
0.228,1021.0,3559.0
0.229,1005.0,3524.0
0.23,990.0,3489.0
0.231,976.0,3454.0
0.232,962.0,3419.0
0.233,949.0,3383.0
0.234,936.0,3347.0
0.235,924.0,3311.0
0.236,912.0,3275.0
0.237,901.0,3239.0
0.238,890.0,3203.0
0.239,880.0,3167.0
0.24,870.0,3132.0
0.241,860.0,3097.0
0.242,851.0,3062.0
0.243,842.0,3027.0
0.244,834.0,2992.0
0.245,826.0,2957.0
0.246,818.0,2922.0
0.247,811.0,2888.0
0.248,804.0,2854.0
0.249,797.0,2820.0
0.25,791.0,2786.0
0.251,785.0,2752.0
0.252,779.0,2719.0
0.253,774.0,2686.0
0.254,769.0,2653.0
0.255,764.0,2620.0
0.256,759.0,2588.0
0.257,755.0,2556.0
0.258,751.0,2524.0
0.259,747.0,2493.0
0.26,743.0,2462.0
0.261,740.0,2431.0
0.262,737.0,2401.0
0.263,734.0,2371.0
0.264,731.0,2341.0
0.265,729.0,2311.0
0.266,727.0,2282.0
0.267,725.0,2253.0
0.268,723.0,2224.0
0.269,721.0,2196.0
0.27,720.0,2168.0
0.271,719.0,2140.0
0.272,718.0,2113.0
0.273,717.0,2086.0
0.274,716.0,2059.0
0.275,716.0,2033.0
0.276,716.0,2007.0
0.277,716.0,1981.0
0.278,716.0,1956.0
0.279,716.0,1931.0
0.28,717.0,1906.0
0.281,718.0,1882.0
0.282,719.0,1858.0
0.283,720.0,1834.0
0.284,721.0,1811.0
0.285,722.0,1788.0
0.286,724.0,1765.0
0.287,726.0,1743.0
0.288,728.0,1721.0
0.289,730.0,1699.0
0.29,732.0,1678.0
0.291,734.0,1657.0
0.292,737.0,1636.0
0.293,740.0,1615.0
0.294,743.0,1595.0
0.295,746.0,1575.0
0.296,749.0,1555.0
0.297,752.0,1536.0
0.298,756.0,1517.0
0.299,760.0,1498.0
0.3,764.0,1480.0
0.301,768.0,1462.0
0.302,772.0,1444.0
0.303,776.0,1426.0
0.304,781.0,1409.0
0.305,786.0,1392.0
0.306,791.0,1375.0
0.307,796.0,1359.0
0.308,801.0,1343.0
0.309,806.0,1327.0
0.31,812.0,1311.0
0.311,818.0,1296.0
0.312,824.0,1281.0
0.313,830.0,1266.0
0.314,836.0,1251.0
0.315,842.0,1237.0
0.316,849.0,1223.0
0.317,856.0,1209.0
0.318,863.0,1195.0
0.319,870.0,1182.0
0.32,877.0,1169.0
0.321,884.0,1156.0
0.322,892.0,1143.0
0.323,900.0,1130.0
0.324,908.0,1118.0
0.325,916.0,1106.0
0.326,924.0,1094.0
0.327,932.0,1082.0
0.328,941.0,1071.0
0.329,950.0,1060.0
0.33,959.0,1049.0
0.331,968.0,1038.0
0.332,977.0,1027.0
0.333,987.0,1017.0
0.334,997.0,1007.0
0.335,1007.0,997.0
0.336,1017.0,987.0
0.337,1027.0,977.0
0.338,1038.0,968.0
0.339,1049.0,959.0
0.34,1060.0,950.0
0.341,1071.0,941.0
0.342,1082.0,932.0
0.343,1094.0,924.0
0.344,1106.0,916.0
0.345,1118.0,908.0
0.346,1130.0,900.0
0.347,1143.0,892.0
0.348,1156.0,884.0
0.349,1169.0,877.0
0.35,1182.0,870.0
0.351,1195.0,863.0
0.352,1209.0,856.0
0.353,1223.0,849.0
0.354,1237.0,842.0
0.355,1251.0,836.0
0.356,1266.0,830.0
0.357,1281.0,824.0
0.358,1296.0,818.0
0.359,1311.0,812.0
0.36,1327.0,806.0
0.361,1343.0,801.0
0.362,1359.0,796.0
0.363,1375.0,791.0
0.364,1392.0,786.0
0.365,1409.0,781.0
0.366,1426.0,776.0
0.367,1444.0,772.0
0.368,1462.0,768.0
0.369,1480.0,764.0
0.37,1498.0,760.0
0.371,1517.0,756.0
0.372,1536.0,752.0
0.373,1555.0,749.0
0.374,1575.0,746.0
0.375,1595.0,743.0
0.376,1615.0,740.0
0.377,1636.0,737.0
0.378,1657.0,734.0
0.379,1678.0,732.0
0.38,1699.0,730.0
0.381,1721.0,728.0
0.382,1743.0,726.0
0.383,1765.0,724.0
0.384,1788.0,722.0
0.385,1811.0,721.0
0.386,1834.0,720.0
0.387,1858.0,719.0
0.388,1882.0,718.0
0.389,1906.0,717.0
0.39,1931.0,716.0
0.391,1956.0,716.0
0.392,1981.0,716.0
0.393,2007.0,716.0
0.394,2033.0,716.0
0.395,2059.0,716.0
0.396,2086.0,717.0
0.397,2113.0,718.0
0.398,2140.0,719.0
0.399,2168.0,720.0
0.4,2196.0,721.0
0.401,2224.0,723.0
0.402,2253.0,725.0
0.403,2282.0,727.0
0.404,2311.0,729.0
0.405,2341.0,731.0
0.406,2371.0,734.0
0.407,2401.0,737.0
0.408,2431.0,740.0
0.409,2462.0,743.0
0.41,2493.0,747.0
0.411,2524.0,751.0
0.412,2556.0,755.0
0.413,2588.0,759.0
0.414,2620.0,764.0
0.415,2653.0,769.0
0.416,2686.0,774.0
0.417,2719.0,779.0
0.418,2752.0,785.0
0.419,2786.0,791.0
0.42,2820.0,797.0
0.421,2854.0,804.0
0.422,2888.0,811.0
0.423,2922.0,818.0
0.424,2957.0,826.0
0.425,2992.0,834.0
0.426,3027.0,842.0
0.427,3062.0,851.0
0.428,3097.0,860.0
0.429,3132.0,870.0
0.43,3167.0,880.0
0.431,3203.0,890.0
0.432,3239.0,901.0
0.433,3275.0,912.0
0.434,3311.0,924.0
0.435,3347.0,936.0
0.436,3383.0,949.0
0.437,3419.0,962.0
0.438,3454.0,976.0
0.439,3489.0,990.0
0.44,3524.0,1005.0
0.441,3559.0,1021.0
0.442,3594.0,1037.0
0.443,3628.0,1054.0
0.444,3662.0,1071.0
0.445,3696.0,1089.0
0.446,3729.0,1108.0
0.447,3762.0,1128.0
0.448,3795.0,1148.0
0.449,3827.0,1169.0
0.45,3859.0,1191.0
0.451,3890.0,1214.0
0.452,3920.0,1237.0
0.453,3950.0,1261.0
0.454,3979.0,1286.0
0.455,4007.0,1312.0
0.456,4034.0,1339.0
0.457,4060.0,1367.0
0.458,4085.0,1396.0
0.459,4109.0,1426.0
0.46,4132.0,1457.0
0.461,4154.0,1489.0
0.462,4175.0,1522.0
0.463,4194.0,1556.0
0.464,4212.0,1591.0
0.465,4229.0,1627.0
0.466,4244.0,1664.0
0.467,4257.0,1702.0
0.468,4269.0,1741.0
0.469,4279.0,1781.0
0.47,4288.0,1822.0
0.471,4295.0,1864.0
0.472,4300.0,1907.0
0.473,4303.0,1951.0
0.474,4304.0,1996.0
0.475,4303.0,2043.0
0.476,4300.0,2091.0
0.477,4295.0,2140.0
0.478,4288.0,2190.0
0.479,4279.0,2241.0
0.48,4268.0,2293.0
0.481,4254.0,2345.0
0.482,4238.0,2398.0
0.483,4220.0,2452.0
0.484,4200.0,2507.0
0.485,4178.0,2562.0
0.486,4153.0,2618.0
0.487,4126.0,2675.0
0.488,4097.0,2732.0
0.489,4066.0,2789.0
0.49,4033.0,2847.0
0.491,3998.0,2905.0
0.492,3961.0,2963.0
0.493,3922.0,3021.0
0.494,3881.0,3079.0
0.495,3838.0,3137.0
0.496,3794.0,3194.0
0.497,3748.0,3251.0
0.498,3700.0,3308.0
0.499,3651.0,3364.0
0.5,3601.0,3419.0
0.501,3549.0,3473.0
0.502,3496.0,3526.0
0.503,3442.0,3578.0
0.504,3387.0,3629.0
0.505,3331.0,3679.0
0.506,3275.0,3727.0
0.507,3218.0,3774.0
0.508,3161.0,3819.0
0.509,3103.0,3862.0
0.51,3045.0,3904.0
0.511,2987.0,3944.0
0.512,2929.0,3982.0
0.513,2871.0,4018.0
0.514,2813.0,4052.0
0.515,2755.0,4084.0
0.516,2698.0,4114.0
0.517,2641.0,4142.0
0.518,2585.0,4167.0
0.519,2529.0,4190.0
0.52,2474.0,4211.0
0.521,2420.0,4230.0
0.522,2366.0,4247.0
0.523,2313.0,4261.0
0.524,2261.0,4273.0
0.525,2210.0,4283.0
0.526,2160.0,4291.0
0.527,2111.0,4297.0
0.528,2063.0,4301.0
0.529,2016.0,4303.0
0.53,1970.0,4303.0
0.531,1925.0,4301.0
0.532,1881.0,4297.0
0.533,1838.0,4291.0
0.534,1796.0,4283.0
0.535,1756.0,4273.0
0.536,1717.0,4262.0
0.537,1679.0,4249.0
0.538,1642.0,4235.0
0.539,1606.0,4219.0
0.54,1571.0,4202.0
0.541,1537.0,4183.0
0.542,1504.0,4163.0
0.543,1472.0,4142.0
0.544,1441.0,4120.0
0.545,1411.0,4096.0
0.546,1382.0,4071.0
0.547,1354.0,4045.0
0.548,1327.0,4018.0
0.549,1301.0,3991.0
0.55,1276.0,3963.0
0.551,1251.0,3934.0
0.552,1227.0,3904.0
0.553,1204.0,3873.0
0.554,1182.0,3842.0
0.555,1161.0,3810.0
0.556,1140.0,3778.0
0.557,1120.0,3745.0
0.558,1101.0,3712.0
0.559,1082.0,3678.0
0.56,1064.0,3644.0
0.561,1047.0,3610.0
0.562,1030.0,3575.0
0.563,1014.0,3540.0
0.564,999.0,3505.0
0.565,984.0,3470.0
0.566,970.0,3435.0
0.567,956.0,3400.0
0.568,943.0,3364.0
0.569,930.0,3328.0
0.57,918.0,3292.0
0.571,906.0,3256.0
0.572,895.0,3220.0
0.573,884.0,3184.0
0.574,874.0,3149.0
0.575,864.0,3114.0
0.576,855.0,3079.0
0.577,846.0,3044.0
0.578,837.0,3009.0
0.579,829.0,2974.0
0.58,821.0,2939.0
0.581,813.0,2904.0
0.582,806.0,2870.0
0.583,799.0,2836.0
0.584,792.0,2802.0
0.585,786.0,2768.0
0.586,780.0,2735.0
0.587,774.0,2702.0
0.588,769.0,2669.0
0.589,764.0,2636.0
0.59,759.0,2604.0
0.591,755.0,2572.0
0.592,751.0,2540.0
0.593,747.0,2508.0
0.594,743.0,2477.0
0.595,740.0,2446.0
0.596,737.0,2415.0
0.597,734.0,2385.0
0.598,731.0,2355.0
0.599,729.0,2325.0
0.6,727.0,2296.0
0.601,725.0,2267.0
0.602,723.0,2238.0
0.603,721.0,2210.0
0.604,720.0,2182.0
0.605,719.0,2154.0
0.606,718.0,2127.0
0.607,717.0,2100.0
0.608,716.0,2073.0
