Time, Wald, Feuer
0.0,1000,1000
0.01,1092,899
0.02,1256,783
0.03,1446,735
0.04,1651,663
0.05,1867,657
0.06,2123,662
0.07,2422,674
0.08,2705,732
0.09,3009,800
0.1,3361,941
0.11,3693,1086
0.12,4038,1302
0.13,4344,1547
0.14,4469,1972
0.15,4314,2570
0.16,3992,3101
0.17,3472,3736
0.18,2794,4262
0.19,2262,4381
0.2,1761,4412
0.21,1378,4267
0.22,1082,3957
0.23,849,3607
0.24,741,3183
0.25,664,2792
0.26,641,2406
0.27,662,2069
0.28,640,1795
0.29,654,1553
0.3,685,1320
0.31,749,1163
0.32,826,1034
0.33,957,904
0.34,1097,831
0.35,1223,753
0.36,1422,692
0.37,1617,648
0.38,1887,623
0.39,2140,631
0.4,2457,652
0.41,2849,655
0.42,3260,706
0.43,3704,859
0.44,4119,1064
0.45,4466,1375
0.46,4534,1818
0.47,4500,2353
0.48,4173,3010
0.49,3727,3644
0.5,3124,4199
0.51,2502,4565
0.52,1941,4672
0.53,1479,4533
0.54,1149,4271
0.55,898,3911
0.56,766,3505
0.57,670,3082
0.58,613,2715
0.59,575,2376
0.6,556,2063
0.61,576,1793
0.62,597,1536
0.63,645,1342
0.64,687,1158
0.65,735,1047
0.66,808,942
0.67,883,842
0.68,1006,753
0.69,1108,693
0.7,1261,637
0.71,1469,581
0.72,1695,538
0.73,1930,521
0.74,2255,516
0.75,2637,539
0.76,3022,600
0.77,3437,686
0.78,3884,796
0.79,4331,995
0.8,4755,1259
0.81,4957,1674
0.82,5047,2148
0.83,4760,2920
0.84,4212,3704
0.85,3415,4389
0.86,2603,4814
0.87,1957,4978
0.88,1455,4814
0.89,1104,4519
0.9,871,4049
0.91,701,3603
0.92,612,3173
0.93,570,2730
0.94,508,2350
0.95,511,2038
0.96,549,1754
0.97,557,1514
0.98,584,1313
0.99,614,1146
1,687,997
